2019-04-01 18:46:45 startup archives unpack
2019-04-01 18:46:45 upgrade libsystemd0:amd64 229-4ubuntu21.15 229-4ubuntu21.16
2019-04-01 18:46:45 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:45 status half-configured libsystemd0:amd64 229-4ubuntu21.15
2019-04-01 18:46:45 status unpacked libsystemd0:amd64 229-4ubuntu21.15
2019-04-01 18:46:45 status half-installed libsystemd0:amd64 229-4ubuntu21.15
2019-04-01 18:46:45 status half-installed libsystemd0:amd64 229-4ubuntu21.15
2019-04-01 18:46:53 status unpacked libsystemd0:amd64 229-4ubuntu21.16
2019-04-01 18:46:53 status unpacked libsystemd0:amd64 229-4ubuntu21.16
2019-04-01 18:46:53 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-04-01 18:46:53 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:53 status installed libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:54 startup packages configure
2019-04-01 18:46:54 configure libsystemd0:amd64 229-4ubuntu21.16 <none>
2019-04-01 18:46:54 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:54 status unpacked libsystemd0:amd64 229-4ubuntu21.16
2019-04-01 18:46:54 status half-configured libsystemd0:amd64 229-4ubuntu21.16
2019-04-01 18:46:54 status installed libsystemd0:amd64 229-4ubuntu21.16
2019-04-01 18:46:54 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-04-01 18:46:54 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:54 status installed libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:46:54 startup archives unpack
2019-04-01 18:46:54 upgrade systemd:amd64 229-4ubuntu21.15 229-4ubuntu21.16
2019-04-01 18:46:54 status half-configured systemd:amd64 229-4ubuntu21.15
2019-04-01 18:46:54 status unpacked systemd:amd64 229-4ubuntu21.15
2019-04-01 18:46:54 status half-installed systemd:amd64 229-4ubuntu21.15
2019-04-01 18:46:54 status triggers-pending dbus:amd64 1.10.6-1ubuntu3.3
2019-04-01 18:46:55 status triggers-pending dbus:amd64 1.10.6-1ubuntu3.3
2019-04-01 18:46:59 status half-installed systemd:amd64 229-4ubuntu21.15
2019-04-01 18:47:03 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:03 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:04 trigproc dbus:amd64 1.10.6-1ubuntu3.3 <none>
2019-04-01 18:47:04 status half-configured dbus:amd64 1.10.6-1ubuntu3.3
2019-04-01 18:47:04 status installed dbus:amd64 1.10.6-1ubuntu3.3
2019-04-01 18:47:04 startup packages configure
2019-04-01 18:47:04 configure systemd:amd64 229-4ubuntu21.16 <none>
2019-04-01 18:47:04 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:05 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:05 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:05 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:05 status unpacked systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:05 status unpacked systemd:amd64 229-4ubuntu21.16
